P8_1,gnd,P9_1,GND,,quadcape
P8_2,gnd,P9_2,GND,,import led
P8_3,d4,P9_3,3v3,,import telemetry
P8_4,c7,P9_4,3v3,,expansion
P8_5,d6,P9_5,5v,,import i2c
P8_6,d3,P9_6,5v,,pwm
P8_7,d8,P9_7,usb 5v,,
P8_8,d5,P9_8,usb 5v,,
P8_9,led sr2,P9_9,nc,,
P8_10,d7,P9_10,nc,,
P8_11,d12,P9_11,uart4 rx,,
P8_12,d10,P9_12,c10,,
P8_13,pwm back right,P9_13,uart4 tx,,
P8_14,LED DISP5,P9_14,pwm back left,,
P8_15,LED DISP3,P9_15,c3,,
P8_16,LED DIPS4,P9_16,pwm front left,,
P8_17,LED DISP1,P9_17,c11,,
P8_18,LED DISP2,P9_18,nc,,
P8_19,pwm front right,P9_19,imu4,,
P8_20,d9,P9_20,imu5,,
P8_21,imu6,P9_21,nc,,
P8_22,d11,P9_22,led bl1,,
P8_23,imu7,P9_23,US trig,,
P8_24,d14,P9_24,LED bl2,,
P8_25,imu8,P9_25,c12,,
P8_26,d13,P9_26,LED br1,,
P8_27,imu9,P9_27,US echo,,
P8_28,d16,P9_28,LED br2,,
P8_29,imu10,P9_29,led sl2,,
P8_30,d15,P9_30,c4,,
P8_31,d18,P9_31,led sl1,,
P8_32,d17,P9_32,vdd_adc,,
P8_33,led sr1,P9_33,nc,,
P8_34,c9,P9_34,gnd,,
P8_35,nc,P9_35,pin not broken out,,
P8_36,c13,P9_36,batt meas in,,
P8_37,bt uart,P9_37,ina br,,
P8_38,bt uart,P9_38,ina fr,,
P8_39,bt key,P9_39,ina fl,,
P8_40,c5,P9_40,ina bl,,
P8_41,c14,P9_41,batt enable,,
P8_42,c15,P9_42,gps res,,
P8_43,c16,P9_43,gnd,,
P8_44,c6,P9_44,gnd,,
P8_45,c18,P9_45,gnd,,
P8_46,c17,P9_46,gnd,,
,,,,,
,usb:wifi,,,,
